project_id,geospatial_anomaly_score,geospatial_anomaly_percentile,geospatial_anomaly_flag,spatial_cluster_id,primary_reason,secondary_reason,tertiary_reason,nearest_neighbor_distance_km,spatial_density_25km,cluster_unit_cost_zscore,model_version,mode,scored_at
MPLADS-000026,26.81,77.12,False,GEO-CLUST-19,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,1.9,8,-1.4,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000027,22.34,69.38,False,GEO-CLUST-10,High geographic clustering (21 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 3.30),Geographic coordinates and terrain profile match regional peers,6.64,21,-0.67,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000028,40.42,88.46,False,GEO-CLUST-21,Elevated spatial unit cost (+2286.4% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,1.03,8,53.82,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000029,18.87,61.86,False,GEO-CLUST-16,High geographic clustering (14 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,3.6,14,-0.66,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000030,11.85,38.54,False,GEO-CLUST-08,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,0.79,6,0.1,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000031,5.46,12.86,False,GEO-CLUST-01,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,0.95,10,-0.4,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000032,45.62,90.44,False,GEO-CLUST-11,Elevated spatial unit cost (+380.5% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,6.64,4,8.12,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000033,34.26,85.0,False,GEO-CLUST-03,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,5.59,7,0.58,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000034,14.72,49.28,False,GEO-CLUST-23,High geographic clustering (18 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 3.00),Geographic coordinates and terrain profile match regional peers,3.91,18,0.0,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000035,30.02,81.08,False,GEO-CLUST-07,High geographic clustering (23 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 3.13),Geographic coordinates and terrain profile match regional peers,0.67,23,-0.69,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000036,11.45,37.14,False,GEO-CLUST-09,High geographic clustering (14 active works within 25 km radius),Elevated spatial unit cost (+39.1% vs cluster median for work type),Geographic coordinates and terrain profile match regional peers,3.32,14,0.61,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000037,1.44,2.3,False,GEO-CLUST-21,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,1.54,10,-1.61,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000038,20.04,64.62,False,GEO-CLUST-20,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,6.68,5,-1.65,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000039,25.52,75.12,False,GEO-CLUST-04,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,4.41,7,0.67,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000040,3.74,7.32,False,GEO-CLUST-18,High geographic clustering (12 active works within 25 km radius),Elevated spatial unit cost (+77.3% vs cluster median for work type),Geographic coordinates and terrain profile match regional peers,4.01,12,1.06,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000041,23.96,72.38,False,GEO-CLUST-17,High geographic clustering (19 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,4.3,19,-0.68,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000042,5.64,13.48,False,GEO-CLUST-10,High geographic clustering (9 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.32,9,0.14,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000043,40.99,88.78,False,GEO-CLUST-13,High geographic clustering (17 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 2.67),Geographic coordinates and terrain profile match regional peers,3.34,17,-0.59,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000044,5.15,11.76,False,GEO-CLUST-20,High geographic clustering (14 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,3.17,14,-0.52,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000045,18.2,60.44,False,GEO-CLUST-23,High geographic clustering (13 active works within 25 km radius),High sanctioned funding allocation (+38.9% above regional cluster median),Geographic coordinates and terrain profile match regional peers,4.4,13,-0.6,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000046,6.53,16.96,False,GEO-CLUST-24,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,4.15,7,0.0,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000047,23.1,70.76,False,GEO-CLUST-04,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,0.62,5,-1.07,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000048,14.89,49.7,False,GEO-CLUST-02,High geographic clustering (21 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 2.70),Geographic coordinates and terrain profile match regional peers,4.46,21,-0.67,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000049,46.1,90.66,False,GEO-CLUST-19,Elevated spatial unit cost (+771.7% vs cluster median for work type),High geographic clustering (18 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 2.76),3.93,18,11.74,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000050,7.3,20.04,False,GEO-CLUST-04,Elevated spatial unit cost (+76.8% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.42,10,0.85,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000051,3.31,6.1,False,GEO-CLUST-05,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,4.67,10,0.04,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000052,19.54,63.46,False,GEO-CLUST-22,High geographic clustering (21 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 3.47),Geographic coordinates and terrain profile match regional peers,2.37,21,-0.83,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000053,18.39,60.88,False,GEO-CLUST-05,Elevated spatial unit cost (+197.2% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,5.37,6,2.17,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000054,33.94,84.72,False,GEO-CLUST-22,High geographic clustering (20 active works within 25 km radius),Elevated spatial unit cost (+242.4% vs cluster median for work type),Disproportionate project density relative to local population density (ratio 3.32),6.28,20,4.01,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000055,85.81,98.06,True,GEO-CLUST-04,High sanctioned funding allocation (+371.1% above regional cluster median),High geographic clustering (16 active works within 25 km radius),Elevated spatial unit cost (+57.7% vs cluster median for work type),4.1,16,0.64,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000056,24.66,73.58,False,GEO-CLUST-06,High geographic clustering (13 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,0.81,13,-0.76,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000057,16.13,53.94,False,GEO-CLUST-22,Elevated spatial unit cost (+354.5% vs cluster median for work type),High geographic clustering (17 active works within 25 km radius),Geographic coordinates and terrain profile match regional peers,3.85,17,7.63,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000058,12.18,39.98,False,GEO-CLUST-08,High geographic clustering (17 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 2.82),Geographic coordinates and terrain profile match regional peers,2.62,17,0.39,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000059,16.25,54.42,False,GEO-CLUST-03,High geographic clustering (20 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 2.76),Elevated spatial unit cost (+87.2% vs cluster median for work type),0.92,20,1.98,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000060,8.46,24.74,False,GEO-CLUST-24,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,3.53,8,0.31,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000061,72.36,96.36,True,GEO-CLUST-04,High sanctioned funding allocation (+454.2% above regional cluster median),Elevated spatial unit cost (+484.3% vs cluster median for work type),High geographic clustering (12 active works within 25 km radius),2.62,12,7.82,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000062,6.11,15.2,False,GEO-CLUST-22,High geographic clustering (10 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,4.34,10,-0.5,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000063,9.39,28.78,False,GEO-CLUST-07,High geographic clustering (16 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.18,16,0.0,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000064,17.74,58.84,False,GEO-CLUST-13,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,8.16,10,-0.18,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000065,27.89,78.42,False,GEO-CLUST-10,Elevated spatial unit cost (+220.0% vs cluster median for work type),High geographic clustering (10 active works within 25 km radius),Geographic coordinates and terrain profile match regional peers,1.18,10,3.08,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000066,0.58,1.48,False,GEO-CLUST-11,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.13,8,-0.67,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000067,33.94,84.7,False,GEO-CLUST-23,Elevated spatial unit cost (+240.4% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,1.95,5,4.09,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000068,3.33,6.18,False,GEO-CLUST-02,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.45,7,-0.06,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000069,13.53,45.14,False,GEO-CLUST-17,Elevated spatial unit cost (+666.3% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,3.93,8,7.34,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000070,50.46,92.02,False,GEO-CLUST-05,Elevated spatial unit cost (+1221.3% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,1.69,11,25.81,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000071,48.47,91.4,False,GEO-CLUST-14,High sanctioned funding allocation (+214.6% above regional cluster median),Elevated spatial unit cost (+987.5% vs cluster median for work type),Geographic coordinates and terrain profile match regional peers,3.04,8,10.8,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000072,16.23,54.28,False,GEO-CLUST-18,High sanctioned funding allocation (+60.2% above regional cluster median),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,4.76,11,0.62,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000073,4.48,9.88,False,GEO-CLUST-10,Elevated spatial unit cost (+57.0% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,1.42,6,1.77,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000074,4.17,8.7,False,GEO-CLUST-07,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,1.7,10,-0.84,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000075,9.26,28.26,False,GEO-CLUST-13,High geographic clustering (16 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.02,16,-0.31,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000076,100.0,99.51,True,GEO-CLUST-06,High sanctioned funding allocation (+432.8% above regional cluster median),Elevated spatial unit cost (+245.7% vs cluster median for work type),Geographic coordinates and terrain profile match regional peers,4.94,6,8.07,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000077,16.51,55.22,False,GEO-CLUST-08,High geographic clustering (12 active works within 25 km radius),Elevated spatial unit cost (+162.9% vs cluster median for work type),Geographic coordinates and terrain profile match regional peers,6.92,12,1.84,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000078,2.56,4.2,False,GEO-CLUST-13,Elevated spatial unit cost (+66.2% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,3.14,7,0.74,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000079,0.93,1.78,False,GEO-CLUST-18,High geographic clustering (14 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,3.25,14,-0.47,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000080,15.01,50.04,False,GEO-CLUST-17,High geographic clustering (22 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 2.94),Elevated spatial unit cost (+51.4% vs cluster median for work type),1.98,22,0.52,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000081,37.23,86.68,False,GEO-CLUST-09,High geographic clustering (25 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 3.32),Geographic coordinates and terrain profile match regional peers,3.49,25,-1.09,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000082,4.03,8.22,False,GEO-CLUST-17,High geographic clustering (12 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.45,12,0.0,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000083,50.14,91.84,False,GEO-CLUST-16,High geographic clustering (20 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 2.67),Geographic coordinates and terrain profile match regional peers,2.61,20,-0.78,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000084,8.06,22.98,False,GEO-CLUST-23,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.24,11,-0.49,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000085,10.96,34.9,False,GEO-CLUST-05,High geographic clustering (14 active works within 25 km radius),Elevated spatial unit cost (+100.5% vs cluster median for work type),Geographic coordinates and terrain profile match regional peers,0.85,14,1.89,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000086,22.06,68.76,False,GEO-CLUST-16,High geographic clustering (12 active works within 25 km radius),Elevated spatial unit cost (+109.1% vs cluster median for work type),Geographic coordinates and terrain profile match regional peers,3.38,12,1.69,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000087,11.11,35.68,False,GEO-CLUST-13,High geographic clustering (22 active works within 25 km radius),Elevated spatial unit cost (+214.6% vs cluster median for work type),Disproportionate project density relative to local population density (ratio 3.00),5.26,22,2.43,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000088,47.08,90.88,False,GEO-CLUST-11,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,7.88,9,-0.21,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000089,10.42,33.02,False,GEO-CLUST-02,High geographic clustering (17 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 2.52),Geographic coordinates and terrain profile match regional peers,2.62,17,-0.67,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000090,24.69,73.64,False,GEO-CLUST-18,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,1.77,7,-0.64,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000091,26.3,76.36,False,GEO-CLUST-15,Elevated spatial unit cost (+210.2% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,5.31,7,5.69,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000092,25.41,74.78,False,GEO-CLUST-22,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,4.34,5,-0.62,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000093,22.13,68.84,False,GEO-CLUST-13,Elevated spatial unit cost (+525.9% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,5.95,7,6.81,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000094,77.71,97.14,True,GEO-CLUST-06,High sanctioned funding allocation (+352.6% above regional cluster median),High geographic clustering (13 active works within 25 km radius),Elevated spatial unit cost (+59.2% vs cluster median for work type),3.12,13,0.82,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000095,4.13,8.56,False,GEO-CLUST-11,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.73,10,0.12,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000096,14.3,47.74,False,GEO-CLUST-20,High geographic clustering (18 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 2.60),Geographic coordinates and terrain profile match regional peers,2.35,18,-0.95,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000097,32.51,83.44,False,GEO-CLUST-09,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,6.24,5,-0.88,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000098,6.73,17.74,False,GEO-CLUST-00,High geographic clustering (14 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.65,14,0.0,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000099,20.06,64.74,False,GEO-CLUST-10,High geographic clustering (12 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,4.8,12,-0.62,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000100,12.83,42.46,False,GEO-CLUST-11,High geographic clustering (10 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.83,10,0.41,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000101,3.66,7.02,False,GEO-CLUST-04,High geographic clustering (12 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,1.78,12,-0.09,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000102,48.22,91.34,False,GEO-CLUST-20,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,3.0,5,0.0,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000103,15.27,51.0,False,GEO-CLUST-02,High geographic clustering (17 active works within 25 km radius),Elevated spatial unit cost (+88.3% vs cluster median for work type),Geographic coordinates and terrain profile match regional peers,4.17,17,1.19,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
