project_id,overall_risk_score,risk_level,investigation_priority,primary_typology,fraud_probability,synthesized_reasons,primary_reason,secondary_reason,tertiary_reason,financial_anomaly_score,geospatial_anomaly_score,procurement_anomaly_score,contractor_anomaly_score,payment_anomaly_score,progress_anomaly_score,graph_anomaly_score,feature_importance_contributions,scored_at
MPLADS-000021,14.5,LOW,ROUTINE,NORMAL,0.0225,"[""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY"", ""[Contractor Capacity] High constituency allocation concentration (81.3% of works in single constituency)"", ""[Contractor Capacity] Vendor registration profile and governance structure compliant"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced"", ""[Payment Structuring] NORMAL_DISBURSEMENT_SCHEDULE""]",[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY,[Contractor Capacity] High constituency allocation concentration (81.3% of works in single constituency),[Contractor Capacity] Vendor registration profile and governance structure compliant,21.92,3.93,31.72,47.48,44.28,25.77,53.98,"{""geo__population_density"": 0.1626, ""geospatial_anomaly_score"": 0.0967, ""geo__infrastructure_gap_index"": 0.0917}",2026-09-06T09:49:30.341612+00:00
MPLADS-000022,9.5,LOW,ROUTINE,NORMAL,0.011,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,20.18,38.03,18.89,23.02,30.2,9.69,24.67,"{""financial__sanctioned_amount"": 0.1309, ""num_flagged_models"": 0.0014, ""project_size_code"": 0.0}",2026-09-06T09:49:30.341612+00:00
MPLADS-000023,10.9,LOW,ROUTINE,NORMAL,0.0225,"[""[Contractor Capacity] Recent corporate ownership change registered prior to developmental contract award"", ""[Contractor Capacity] Vendor registration profile and governance structure compliant"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced"", ""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY""]",[Contractor Capacity] Recent corporate ownership change registered prior to developmental contract award,[Contractor Capacity] Vendor registration profile and governance structure compliant,[Contractor Capacity] Allocation distribution across implementing agencies well balanced,16.14,17.34,28.09,45.42,20.63,6.97,42.31,"{""project__planned_duration_days"": 0.0521, ""financial__sanctioned_amount"": 0.0516, ""geospatial_anomaly_score"": 0.0382}",2026-09-06T09:49:30.341612+00:00
MPLADS-000024,19.7,LOW,ROUTINE,NORMAL,0.0314,"[""[Geospatial Clustering] Elevated spatial unit cost (+1541.0% vs cluster median for work type)"", ""[Geospatial Clustering] High sanctioned funding allocation (+36.6% above regional cluster median)"", ""[Geospatial Clustering] Geographic coordinates and terrain profile match regional peers"", ""[Payment Structuring] PAYMENT_TIMING_ANOMALY"", ""[Financial Execution] Atypical cost per unit (+1073.5% vs peer median rate)""]",[Geospatial Clustering] Elevated spatial unit cost (+1541.0% vs cluster median for work type),[Geospatial Clustering] High sanctioned funding allocation (+36.6% above regional cluster median),[Geospatial Clustering] Geographic coordinates and terrain profile match regional peers,63.03,90.88,43.59,4.57,78.28,33.28,3.69,"{""payment_anomaly_score"": 0.4093, ""financial_anomaly_score"": 0.1727, ""procurement_anomaly_percentile"": 0.1474}",2026-09-06T09:49:30.341612+00:00
MPLADS-000025,90.0,CRITICAL,IMMEDIATE,COST_OVERRUN,1.0,"[""[Financial Execution] Accelerated disbursement velocity (2.0x peer median disbursement speed)"", ""[Financial Execution] Atypical cost per unit (+148.3% vs peer median rate)"", ""[Financial Execution] Contract escalation (72.5% value change with 0 amendments)"", ""[Payment Structuring] PAYMENT_TIMING_ANOMALY"", ""[Tender & Procurement] High bid price similarity across competing tenders (95.0% quotation clustering)""]",[Financial Execution] Accelerated disbursement velocity (2.0x peer median disbursement speed),[Financial Execution] Atypical cost per unit (+148.3% vs peer median rate),[Financial Execution] Contract escalation (72.5% value change with 0 amendments),100.0,42.39,79.48,61.78,95.08,74.25,55.17,"{""progress_anomaly_score"": 4.6889, ""progress_anomaly_percentile"": 0.8739, ""procurement_anomaly_score"": 0.4233}",2026-09-06T09:49:30.343150+00:00
MPLADS-000026,82.0,CRITICAL,IMMEDIATE,PAYMENT_PROGRESS_MISMATCH,1.0,"[""[Payment Structuring] UNVERIFIED_DISBURSEMENT_BURST"", ""[Physical-Financial Trajectory] SEVERE_PHYSICAL_FINANCIAL_GAP"", ""[Physical-Financial Trajectory] INSPECTION_DOCUMENTATION_DEFICIT"", ""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY"", ""[Tender & Procurement] Compressed tender submission window (14 days vs statutory guidelines)""]",[Payment Structuring] UNVERIFIED_DISBURSEMENT_BURST,[Physical-Financial Trajectory] SEVERE_PHYSICAL_FINANCIAL_GAP,[Physical-Financial Trajectory] INSPECTION_DOCUMENTATION_DEFICIT,34.9,26.81,50.43,46.57,81.78,73.77,54.33,"{""progress_anomaly_score"": 4.5823, ""progress_anomaly_percentile"": 0.8624, ""payment_anomaly_score"": 0.3257}",2026-09-06T09:49:30.343150+00:00
MPLADS-000027,4.8,LOW,ROUTINE,NORMAL,0.0225,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,2.52,22.34,4.82,13.84,10.65,1.8,11.82,"{""geo__infrastructure_gap_index"": 0.2009, ""procurement_anomaly_percentile"": 0.0539, ""project__planned_duration_days"": 0.051}",2026-09-06T09:49:30.343150+00:00
MPLADS-000028,15.9,LOW,ROUTINE,NORMAL,0.0182,"[""[Entity Graph Relationship] CORPORATE_COLLUSION_NETWORK"", ""[Contractor Capacity] Contractor identified with corporate collusion risk indicators (shared directors, common ownership)"", ""[Contractor Capacity] Vendor registration profile and governance structure compliant"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced"", ""[Geospatial Clustering] Elevated spatial unit cost (+2286.4% vs cluster median for work type)""]",[Entity Graph Relationship] CORPORATE_COLLUSION_NETWORK,"[Contractor Capacity] Contractor identified with corporate collusion risk indicators (shared directors, common ownership)",[Contractor Capacity] Vendor registration profile and governance structure compliant,36.53,40.42,3.65,56.74,38.01,30.83,65.28,"{""financial__sanctioned_amount"": 0.1569, ""financial_anomaly_score"": 0.0715, ""financial_anomaly_percentile"": 0.069}",2026-09-06T09:49:30.343150+00:00
MPLADS-000029,65.0,HIGH,PRIORITY,PROCUREMENT_SINGLE_BID,0.5278,"[""[Tender & Procurement] Non-competitive single-bid procurement in accessible district (infrastructure gap 0.34)"", ""[Tender & Procurement] Substantial post-award contract amendment (+\u20b91.73 Lakhs added post-tender)"", ""[Tender & Procurement] Contract award amount aligned with initial technical estimates""]",[Tender & Procurement] Non-competitive single-bid procurement in accessible district (infrastructure gap 0.34),[Tender & Procurement] Substantial post-award contract amendment (+₹1.73 Lakhs added post-tender),[Tender & Procurement] Contract award amount aligned with initial technical estimates,27.34,18.87,100.0,29.69,16.94,15.33,29.22,"{""procurement_anomaly_score"": 1.8176, ""procurement_anomaly_percentile"": 0.765, ""max_anomaly_score"": 0.1552}",2026-09-06T09:49:30.343150+00:00
MPLADS-000030,9.4,LOW,ROUTINE,NORMAL,0.0231,"[""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY""]",[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY,,,19.46,11.85,8.88,5.28,37.15,15.41,51.34,"{""geospatial_anomaly_score"": 0.1174, ""project__planned_duration_days"": 0.0785, ""geospatial_anomaly_percentile"": 0.0349}",2026-09-06T09:49:30.343150+00:00
MPLADS-000031,13.1,LOW,ROUTINE,NORMAL,0.0314,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,31.21,5.46,25.29,37.14,38.7,32.87,11.92,"{""geo__population_density"": 0.372, ""financial__sanctioned_amount"": 0.1151, ""financial_anomaly_percentile"": 0.06}",2026-09-06T09:49:30.343150+00:00
MPLADS-000032,14.5,LOW,ROUTINE,NORMAL,0.0153,"[""[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS"", ""[Geospatial Clustering] Elevated spatial unit cost (+380.5% vs cluster median for work type)"", ""[Geospatial Clustering] Normal local project density and infrastructure alignment"", ""[Geospatial Clustering] Geographic coordinates and terrain profile match regional peers""]",[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS,[Geospatial Clustering] Elevated spatial unit cost (+380.5% vs cluster median for work type),[Geospatial Clustering] Normal local project density and infrastructure alignment,21.62,45.62,11.38,36.03,39.96,48.69,34.01,"{""financial__sanctioned_amount"": 0.1746, ""graph_anomaly_score"": 0.0722, ""payment_anomaly_percentile"": 0.0253}",2026-09-06T09:49:30.344807+00:00
MPLADS-000033,65.0,HIGH,PRIORITY,PROCUREMENT_SINGLE_BID,0.5278,"[""[Tender & Procurement] Non-competitive single-bid procurement in accessible district (infrastructure gap 0.23)"", ""[Tender & Procurement] Tender awarded to frequent repeated winning vendor with low competition index (0.17)"", ""[Tender & Procurement] Contract award amount aligned with initial technical estimates"", ""[Payment Structuring] NORMAL_DISBURSEMENT_SCHEDULE"", ""[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS""]",[Tender & Procurement] Non-competitive single-bid procurement in accessible district (infrastructure gap 0.23),[Tender & Procurement] Tender awarded to frequent repeated winning vendor with low competition index (0.17),[Tender & Procurement] Contract award amount aligned with initial technical estimates,36.65,34.26,100.0,29.66,48.65,41.88,5.5,"{""procurement_anomaly_score"": 1.8489, ""procurement_anomaly_percentile"": 0.8247, ""max_anomaly_score"": 0.1606}",2026-09-06T09:49:30.344807+00:00
MPLADS-000034,5.8,LOW,ROUTINE,NORMAL,0.0225,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,6.61,14.72,15.46,2.83,4.32,12.89,27.06,"{""contractor_anomaly_percentile"": 0.1042, ""project__planned_duration_days"": 0.0538, ""geospatial_anomaly_score"": 0.0449}",2026-09-06T09:49:30.344807+00:00
MPLADS-000035,8.5,LOW,ROUTINE,NORMAL,0.0182,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,18.76,30.02,12.28,28.9,24.1,4.43,19.72,"{""financial__sanctioned_amount"": 0.0512, ""graph_anomaly_score"": 0.0177, ""graph_anomaly_percentile"": 0.0127}",2026-09-06T09:49:30.344807+00:00
MPLADS-000036,81.2,CRITICAL,IMMEDIATE,COST_OVERRUN,1.0,"[""[Tender & Procurement] Substantial post-award contract amendment (+\u20b915.50 Lakhs added post-tender)"", ""[Tender & Procurement] Tender publication window and bidder participation compliant"", ""[Tender & Procurement] Contract award amount aligned with initial technical estimates"", ""[Physical-Financial Trajectory] SEVERE_PHYSICAL_FINANCIAL_GAP"", ""[Financial Execution] Accelerated disbursement velocity (1.7x peer median disbursement speed)""]",[Tender & Procurement] Substantial post-award contract amendment (+₹15.50 Lakhs added post-tender),[Tender & Procurement] Tender publication window and bidder participation compliant,[Tender & Procurement] Contract award amount aligned with initial technical estimates,62.4,11.45,67.6,43.88,55.65,62.61,48.41,"{""progress_anomaly_score"": 4.384, ""progress_anomaly_percentile"": 0.8303, ""procurement_anomaly_score"": 0.3089}",2026-09-06T09:49:30.344807+00:00
MPLADS-000037,80.0,CRITICAL,IMMEDIATE,DELAYED_WORK,1.0,"[""[Physical-Financial Trajectory] EXTREME_DURATION_OVERRUN"", ""[Physical-Financial Trajectory] STALLED_EXECUTION_TRAJECTORY"", ""[Physical-Financial Trajectory] SEVERE_PHYSICAL_FINANCIAL_GAP"", ""[Payment Structuring] PAYMENT_TIMING_ANOMALY"", ""[Financial Execution] Contract escalation (-6.2% value change with 3 amendments)""]",[Physical-Financial Trajectory] EXTREME_DURATION_OVERRUN,[Physical-Financial Trajectory] STALLED_EXECUTION_TRAJECTORY,[Physical-Financial Trajectory] SEVERE_PHYSICAL_FINANCIAL_GAP,66.61,1.44,28.12,36.63,69.23,77.74,1.43,"{""progress_anomaly_score"": 5.1056, ""progress_anomaly_percentile"": 0.9002, ""financial_anomaly_score"": 0.1869}",2026-09-06T09:49:30.344807+00:00
MPLADS-000038,21.5,LOW,ROUTINE,NORMAL,0.2283,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,14.66,20.04,6.32,0.92,30.1,35.9,24.86,"{""financial__sanctioned_amount"": 0.3716, ""contractor_anomaly_percentile"": 0.3278, ""contractor_anomaly_score"": 0.2823}",2026-09-06T09:49:30.344807+00:00
MPLADS-000039,10.7,LOW,ROUTINE,NORMAL,0.0182,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,17.95,25.52,28.43,17.82,17.02,35.57,22.04,"{""geo__infrastructure_gap_index"": 0.0356, ""num_flagged_models"": 0.0014, ""project_size_code"": 0.0}",2026-09-06T09:49:30.346459+00:00
MPLADS-000040,8.4,LOW,ROUTINE,NORMAL,0.0231,"[""[Tender & Procurement] Compressed tender submission window (14 days vs statutory guidelines)"", ""[Tender & Procurement] Tender publication window and bidder participation compliant"", ""[Tender & Procurement] Contract award amount aligned with initial technical estimates""]",[Tender & Procurement] Compressed tender submission window (14 days vs statutory guidelines),[Tender & Procurement] Tender publication window and bidder participation compliant,[Tender & Procurement] Contract award amount aligned with initial technical estimates,4.24,3.74,41.46,18.66,12.15,16.18,24.45,"{""procurement_anomaly_percentile"": 0.118, ""geo__infrastructure_gap_index"": 0.0841, ""financial__sanctioned_amount"": 0.048}",2026-09-06T09:49:30.346459+00:00
MPLADS-000041,4.4,LOW,ROUTINE,NORMAL,0.0287,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,2.79,23.96,2.08,2.01,9.91,5.49,7.62,"{""contractor_anomaly_percentile"": 0.1781, ""contractor_anomaly_score"": 0.1242, ""geo__population_density"": 0.1199}",2026-09-06T09:49:30.346459+00:00
MPLADS-000042,8.5,LOW,ROUTINE,NORMAL,0.0231,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,19.76,5.64,16.9,4.75,36.13,18.22,20.45,"{""geo__population_density"": 0.2092, ""financial__sanctioned_amount"": 0.1894, ""mean_anomaly_score"": 0.0896}",2026-09-06T09:49:30.346459+00:00
MPLADS-000043,21.0,LOW,ROUTINE,NORMAL,0.0182,"[""[Contractor Capacity] Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 2.88)"", ""[Contractor Capacity] Recent corporate ownership change registered prior to developmental contract award"", ""[Contractor Capacity] High constituency allocation concentration (69.9% of works in single constituency)"", ""[Entity Graph Relationship] HIGH_CONSTITUENCY_AGENCY_CAPTURE"", ""[Entity Graph Relationship] PRE_AWARD_GOVERNANCE_INSTABILITY""]",[Contractor Capacity] Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 2.88),[Contractor Capacity] Recent corporate ownership change registered prior to developmental contract award,[Contractor Capacity] High constituency allocation concentration (69.9% of works in single constituency),41.78,40.99,38.88,80.1,45.52,41.44,65.1,"{""geo__infrastructure_gap_index"": 0.1538, ""geo__population_density"": 0.0759, ""std_anomaly_score"": 0.0697}",2026-09-06T09:49:30.346459+00:00
