project_id,contractor_anomaly_score,contractor_anomaly_percentile,contractor_anomaly_flag,primary_reason,secondary_reason,tertiary_reason,contractor_project_count,capacity_strain_index,corporate_collusion_index,agency_capture_score,model_version,mode,scored_at
MPLADS-000020,80.62,96.96,True,"Contractor identified with corporate collusion risk indicators (shared directors, common ownership)",Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 2.61),Allocation distribution across implementing agencies well balanced,29,1.61,0.5,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000021,47.48,76.56,False,High constituency allocation concentration (81.3% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,20,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000022,23.02,40.16,False,Elevated agency concentration (86.7% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,16,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000023,45.42,73.94,False,Recent corporate ownership change registered prior to developmental contract award,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,20,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000024,4.57,5.34,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,25,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000025,61.78,88.82,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,31,0.0,0.15,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000026,46.57,75.48,False,Recent corporate board/director replacement registered for contractor,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,12,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000027,13.84,21.48,False,High constituency allocation concentration (75.5% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,32,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000028,56.74,85.44,False,"Contractor identified with corporate collusion risk indicators (shared directors, common ownership)",Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,13,0.0,0.5,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000029,29.69,51.94,False,High constituency allocation concentration (77.6% of works in single constituency),Elevated historical irregularity record (2 past statutory audit findings),Allocation distribution across implementing agencies well balanced,17,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000030,5.28,6.38,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,23,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000031,37.14,62.74,False,Elevated agency concentration (88.9% of vendor work tied to single implementing agency),Elevated historical irregularity record (4 past statutory audit findings),Allocation distribution across implementing agencies well balanced,18,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000032,36.03,61.2,False,Recent corporate board/director replacement registered for contractor,High constituency allocation concentration (67.7% of works in single constituency),Allocation distribution across implementing agencies well balanced,37,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000033,29.66,51.9,False,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 1.90),Elevated agency concentration (85.3% of vendor work tied to single implementing agency),Allocation distribution across implementing agencies well balanced,4,0.904,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000034,2.83,3.28,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,16,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000035,28.9,50.56,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,31,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000036,43.88,71.96,False,Recent corporate ownership change registered prior to developmental contract award,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,23,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000037,36.63,62.02,False,High constituency allocation concentration (63.1% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,43,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000038,0.92,1.58,False,High constituency allocation concentration (69.1% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,17,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000039,17.82,29.56,False,High constituency allocation concentration (64.1% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,34,0.0,0.0,0.524,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000040,18.66,31.2,False,Elevated agency concentration (75.5% of vendor work tied to single implementing agency),High constituency allocation concentration (68.2% of works in single constituency),Allocation distribution across implementing agencies well balanced,44,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000041,2.01,2.4,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,15,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000042,4.75,5.66,False,Elevated agency concentration (76.8% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,22,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000043,80.1,96.82,True,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 2.88),Recent corporate ownership change registered prior to developmental contract award,High constituency allocation concentration (69.9% of works in single constituency),37,1.878,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000044,48.27,77.56,False,Elevated historical irregularity record (2 past statutory audit findings),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,32,0.0,0.15,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000045,47.05,76.04,False,Recent corporate board/director replacement registered for contractor,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,12,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000046,16.78,27.68,False,High constituency allocation concentration (61.8% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,20,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000047,17.7,29.4,False,High constituency allocation concentration (75.5% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,32,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000048,2.91,3.32,False,High constituency allocation concentration (75.7% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,17,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000049,11.01,15.92,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,38,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000050,27.85,48.76,False,Elevated historical irregularity record (2 past statutory audit findings),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,38,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000051,14.85,23.96,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,15,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000052,47.09,76.08,False,Contractor identified with corporate collusion risk indicators (shared address),Elevated agency concentration (85.0% of vendor work tied to single implementing agency),Allocation distribution across implementing agencies well balanced,19,0.0,0.25,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000053,10.17,14.2,False,High constituency allocation concentration (61.1% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,25,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000054,54.8,83.9,False,Contractor identified with corporate collusion risk indicators (shared address),Recent corporate ownership change registered prior to developmental contract award,Allocation distribution across implementing agencies well balanced,27,0.0,0.25,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000055,32.4,56.22,False,High constituency allocation concentration (65.8% of works in single constituency),Elevated historical irregularity record (2 past statutory audit findings),Allocation distribution across implementing agencies well balanced,25,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000056,18.88,31.68,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,32,0.0,0.0,1.225,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000057,18.27,30.24,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,38,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000058,13.85,21.5,False,Elevated agency concentration (76.2% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,26,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000059,55.15,84.2,False,Contractor identified with corporate collusion risk indicators (shared address),High constituency allocation concentration (84.8% of works in single constituency),Elevated historical irregularity record (2 past statutory audit findings),36,0.0,0.25,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000060,21.18,36.26,False,High constituency allocation concentration (60.8% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,44,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000061,37.24,62.96,False,Elevated historical irregularity record (2 past statutory audit findings),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,6,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000062,52.93,82.08,False,Contractor identified with corporate collusion risk indicators (shared address),Elevated agency concentration (85.5% of vendor work tied to single implementing agency),Allocation distribution across implementing agencies well balanced,11,0.0,0.25,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000063,37.38,63.24,False,High constituency allocation concentration (63.8% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,14,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000064,32.19,55.72,False,High constituency allocation concentration (75.7% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,17,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000065,44.9,73.26,False,Recent corporate board/director replacement registered for contractor,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,7,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000066,39.34,65.94,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,40,0.0,0.0,1.124,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000067,2.75,3.14,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,29,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000068,21.28,36.58,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,3,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000069,21.53,37.12,False,High constituency allocation concentration (73.4% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,40,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000070,28.88,50.54,False,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 2.16),Elevated agency concentration (78.0% of vendor work tied to single implementing agency),Allocation distribution across implementing agencies well balanced,14,1.161,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000071,69.22,93.0,False,Recent corporate ownership change registered prior to developmental contract award,High constituency allocation concentration (61.1% of works in single constituency),Allocation distribution across implementing agencies well balanced,5,0.0,0.15,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000072,10.46,14.8,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,13,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000073,14.2,22.38,False,Elevated agency concentration (82.0% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,21,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000074,18.03,29.9,False,High constituency allocation concentration (83.9% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,36,0.0,0.0,0.887,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000075,32.02,55.58,False,High constituency allocation concentration (82.5% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,9,0.0,0.0,0.433,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000076,75.24,95.54,True,Heavy agency monopolization (81.8% funding channeled through repeated agency-contractor pair),Recent corporate board/director replacement registered for contractor,Allocation distribution across implementing agencies well balanced,33,0.0,0.0,1.433,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000077,35.19,60.12,False,Elevated historical irregularity record (2 past statutory audit findings),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,3,0.0,0.15,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000078,15.5,25.26,False,Elevated agency concentration (86.6% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,27,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000079,17.03,28.14,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,23,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000080,20.72,35.42,False,Elevated agency concentration (87.2% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,9,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000081,20.11,34.3,False,Elevated agency concentration (86.7% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,24,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000082,6.02,7.6,False,High constituency allocation concentration (72.7% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,7,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000083,20.77,35.58,False,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 1.90),Elevated agency concentration (74.9% of vendor work tied to single implementing agency),Allocation distribution across implementing agencies well balanced,21,0.899,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000084,31.23,54.46,False,High constituency allocation concentration (67.8% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,11,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000085,39.22,65.72,False,Heavy agency monopolization (67.5% funding channeled through repeated agency-contractor pair),High constituency allocation concentration (76.5% of works in single constituency),Allocation distribution across implementing agencies well balanced,27,0.0,0.0,1.461,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000086,44.12,72.32,False,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 2.58),High constituency allocation concentration (77.6% of works in single constituency),Elevated historical irregularity record (2 past statutory audit findings),17,1.582,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000087,0.0,0.51,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,28,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000088,15.7,25.7,False,High constituency allocation concentration (62.7% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,36,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000089,40.82,68.0,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,44,0.0,0.0,0.375,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000090,15.45,25.18,False,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 1.97),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,30,0.965,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000091,20.39,34.84,False,High constituency allocation concentration (63.8% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,14,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000092,1.62,2.04,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,37,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000093,13.58,20.9,False,Elevated agency concentration (89.9% of vendor work tied to single implementing agency),Elevated historical irregularity record (2 past statutory audit findings),Allocation distribution across implementing agencies well balanced,25,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000094,47.81,77.02,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,32,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000095,31.42,54.74,False,Elevated agency concentration (76.1% of vendor work tied to single implementing agency),High constituency allocation concentration (84.9% of works in single constituency),Allocation distribution across implementing agencies well balanced,16,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000096,36.92,62.46,False,Heavy agency monopolization (76.6% funding channeled through repeated agency-contractor pair),High constituency allocation concentration (72.9% of works in single constituency),Allocation distribution across implementing agencies well balanced,18,0.0,0.0,1.571,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000097,82.07,97.22,True,Recent corporate board/director replacement registered for contractor,High constituency allocation concentration (60.1% of works in single constituency),Elevated historical irregularity record (4 past statutory audit findings),7,0.0,0.0,1.169,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000098,3.68,4.18,False,High constituency allocation concentration (74.8% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,15,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000099,21.75,37.58,False,Elevated agency concentration (88.7% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,38,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000100,67.78,92.28,False,Recent corporate ownership change registered prior to developmental contract award,High constituency allocation concentration (78.1% of works in single constituency),Allocation distribution across implementing agencies well balanced,44,0.0,0.15,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000101,2.25,2.6,False,Elevated agency concentration (75.6% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,31,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000102,16.48,27.04,False,High constituency allocation concentration (81.3% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,41,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000103,9.67,13.22,False,High constituency allocation concentration (73.4% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,40,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000104,47.16,76.16,False,Recent corporate board/director replacement registered for contractor,Elevated agency concentration (81.9% of vendor work tied to single implementing agency),High constituency allocation concentration (72.0% of works in single constituency),16,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000105,14.16,22.24,False,High constituency allocation concentration (60.7% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,19,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000106,20.76,35.54,False,High constituency allocation concentration (61.8% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,20,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000107,27.09,47.42,False,Heavy agency monopolization (85.9% funding channeled through repeated agency-contractor pair),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,4,0.0,0.0,0.645,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000108,35.53,60.54,False,Elevated agency concentration (88.7% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,38,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
