project_id,procurement_anomaly_score,procurement_anomaly_percentile,procurement_anomaly_flag,primary_reason,secondary_reason,tertiary_reason,bid_count,single_bid_flag,bid_competition_score,bid_price_similarity,repeated_winner_flag,model_version,mode,scored_at
MPLADS-000067,30.03,74.0,False,Narrow qualified bidder pool (2 qualified bidders evaluated),Elevated bidder disqualification rate during technical evaluation (24.6%),Contract award amount aligned with initial technical estimates,3,0,0.5,0.876,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000068,51.01,90.54,False,Substantial post-award contract amendment (+₹6.96 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.874,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000069,15.42,35.22,False,Substantial post-award contract amendment (+₹1.26 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.967,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000070,34.62,80.0,False,Substantial post-award contract amendment (+₹0.96 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.899,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000071,19.37,48.2,False,Compressed tender submission window (15 days vs statutory guidelines),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.935,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000072,25.62,65.14,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.885,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000073,51.5,90.78,False,Substantial post-award contract amendment (+₹7.88 Lakhs added post-tender),Narrow qualified bidder pool (2 qualified bidders evaluated),Contract award amount aligned with initial technical estimates,3,0,0.5,0.909,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000074,12.7,26.84,False,Elevated bidder disqualification rate during technical evaluation (21.5%),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.875,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000075,62.0,93.1,False,Substantial post-award contract amendment (+₹10.31 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.881,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000076,26.05,66.38,False,High bid price similarity across competing tenders (95.6% quotation clustering),Compressed tender submission window (14 days vs statutory guidelines),Contract award amount aligned with initial technical estimates,4,0,0.667,0.956,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000077,23.27,59.54,False,Compressed tender submission window (14 days vs statutory guidelines),Narrow qualified bidder pool (2 qualified bidders evaluated),Contract award amount aligned with initial technical estimates,3,0,0.5,0.967,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000078,11.33,22.4,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.9,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000079,17.33,41.32,False,Substantial post-award contract amendment (+₹0.26 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.954,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000080,14.91,33.74,False,Elevated bidder disqualification rate during technical evaluation (24.2%),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.916,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000081,12.85,27.38,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.984,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000082,2.21,2.98,False,Elevated bidder disqualification rate during technical evaluation (23.0%),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.871,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000083,27.86,69.78,False,High bid price similarity across competing tenders (97.5% quotation clustering),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.975,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000084,21.41,54.44,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.972,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000085,7.34,11.8,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.904,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000086,32.36,77.46,False,High bid price similarity across competing tenders (94.4% quotation clustering),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.944,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000087,16.77,39.56,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.851,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000088,17.48,41.9,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.958,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000089,9.25,16.38,False,High bid price similarity across competing tenders (94.3% quotation clustering),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.943,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000090,31.42,76.24,False,High bid price similarity across competing tenders (96.8% quotation clustering),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.968,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000091,21.89,55.86,False,Substantial post-award contract amendment (+₹0.62 Lakhs added post-tender),Compressed tender submission window (14 days vs statutory guidelines),Contract award amount aligned with initial technical estimates,7,0,1.0,0.9,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000092,19.25,47.88,False,High bid price similarity across competing tenders (98.6% quotation clustering),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.986,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000093,39.2,84.58,False,Substantial post-award contract amendment (+₹1.00 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.858,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000094,26.12,66.58,False,Compressed tender submission window (15 days vs statutory guidelines),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,3,0,0.5,0.855,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000095,65.2,93.62,False,Substantial post-award contract amendment (+₹17.16 Lakhs added post-tender),Elevated bidder disqualification rate during technical evaluation (24.3%),Contract award amount aligned with initial technical estimates,4,0,0.667,0.879,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000096,29.75,73.5,False,High bid price similarity across competing tenders (96.7% quotation clustering),Compressed tender submission window (14 days vs statutory guidelines),Contract award amount aligned with initial technical estimates,6,0,1.0,0.967,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000097,39.52,84.96,False,Narrow qualified bidder pool (2 qualified bidders evaluated),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,3,0,0.5,0.952,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000098,0.91,1.64,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.943,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000099,30.36,74.58,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.983,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000100,30.31,74.44,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.866,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000101,17.3,41.26,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,3,0,0.5,0.88,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000102,23.34,59.66,False,Elevated bidder disqualification rate during technical evaluation (23.1%),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,3,0,0.5,0.881,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000103,47.09,89.08,False,High bid price similarity across competing tenders (97.4% quotation clustering),Compressed tender submission window (14 days vs statutory guidelines),Elevated bidder disqualification rate during technical evaluation (23.3%),7,0,1.0,0.974,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000104,29.53,73.12,False,Substantial post-award contract amendment (+₹1.31 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.885,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000105,86.11,95.2,True,Tender awarded to frequent repeated winning vendor with low competition index (0.17),Single-bid procurement recorded in remote area (infrastructure gap 0.70),Contract award amount aligned with initial technical estimates,1,1,0.167,0.0,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000106,25.74,65.48,False,Substantial post-award contract amendment (+₹0.53 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.866,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000107,24.65,62.94,False,Substantial post-award contract amendment (+₹2.14 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.928,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000108,14.09,31.02,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.94,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000109,25.12,64.08,False,High bid price similarity across competing tenders (96.3% quotation clustering),Substantial post-award contract amendment (+₹0.20 Lakhs added post-tender),Elevated bidder disqualification rate during technical evaluation (21.1%),5,0,0.833,0.963,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000110,38.64,83.98,False,High bid price similarity across competing tenders (94.7% quotation clustering),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.947,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000111,4.36,6.0,False,Elevated bidder disqualification rate during technical evaluation (22.5%),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.935,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
